,0.358014445,0.28952257,0.258329098,0.305074585,0.208649395,0.222064716,0.289414929,0.250598566,0.254606976
0.301910821,,0.246545291,0.21535182,0.262097306,0.165672116,0.179087438,0.24643765,0.207621288,0.211629698
0.296022622,0.309148968,,0.209463621,0.256209107,0.159783917,0.173199239,0.240549451,0.201733088,0.205741499
0.265077673,0.278204019,0.209712144,,0.225264159,0.128838969,0.14225429,0.209604503,0.17078814,0.17479655
0.259743104,0.27286945,0.204377574,0.173184102,,0.123504399,0.13691972,0.204269933,0.16545357,0.16946198
0.252164513,0.265290859,0.196798983,0.165605512,0.212350998,,0.12934113,0.196691342,0.15787498,0.16188339
0.25007885,0.263205196,0.19471332,0.163519849,0.210265335,0.113840145,,0.194605679,0.155789316,0.159797727
0.24598146,0.259107806,0.19061593,0.159422458,0.206167945,0.109742755,0.123158076,,0.151691926,0.155700336
0.237451835,0.250578181,0.182086305,0.150892834,0.19763832,0.101213131,0.114628452,0.181978665,,0.147170712
0.214398638,0.227524984,0.159033108,0.127839637,0.174585123,0.078159933,0.091575255,0.158925467,0.120109104,
